col_id	uuid	name	sex	det	fam	ord	rank
JPL_A140	TSZ-JPL-468cc906-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cefeb-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468ca20d-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cc8ff-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cc908-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cc903-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468ca213-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cc904-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cefea-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468ca20e-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468ca212-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468ca20f-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468ca211-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cefe6-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cc902-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cefe9-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cc905-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cc900-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cefe7-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A140	TSZ-JPL-468cefec-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e7578-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2b4-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e756f-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e2799-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9a6-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2b5-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2b6-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9af-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e756e-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00a8-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e92-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00a9-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e93-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2be-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9ae-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e9c79-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9ac-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e2798-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00a6-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e7575-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e99-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e9c74-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e279a-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00aa-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e94-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9a7-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e279b-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e95-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00a2-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2b8-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9a8-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e7571-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00ac-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e279c-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e7577-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e7572-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2b9-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e2797-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00a3-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9a9-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e9c78-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e00a5-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e2795-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468dd9ab-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e4e98-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468db2bb-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e7574-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A141	TSZ-JPL-468e279e-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A142	TSZ-JPL-468d8c03-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A142	TSZ-JPL-468d8c02-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A142	TSZ-JPL-468d8c01-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A138	TSZ-JPL-468d8bff-e2ec-11e9-8a77-774a912b890a	empty					other
JPL_A143	TSZ-JPL-d604813a-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6045a67-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604813b-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6048138-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6045a65-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6048137-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6048139-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6048136-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6048135-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604a826-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6048134-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d60543ec-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604cf69-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6045a66-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6048133-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604a824-e3a2-11e9-8e02-03ce3011d93e	empty					other
